rank,intent,cluster,type,form,funnel,nVariants,nQueries,crossSeeds,geo,evidencePhrase,url
19,will my relationship last,love_relationships,yes_no,决策�?D3,10,5,1,1,will my relationship last,/questions/love-relationships/will-my-relationship-last,
20,am i in love,love_relationships,yes_no,决策�?D1,26,8,2,1,am i in love,/questions/love-relationships/am-i-in-love,
21,why is he distant all of a sudden,love_relationships,wh,决策�?D2,9,19,1,1,why is he distant,/questions/love-relationships/why-is-he-distant,
22,why did he ghost me,love_relationships,wh,决策�?D2,12,3,1,1,why did he ghost me,/questions/love-relationships/why-did-he-ghost-me,
23,why do i keep thinking about him,love_relationships,wh,决策�?D2,10,5,1,1,why do i keep thinking about him,/questions/love-relationships/why-cant-i-stop-thinking-about-him,
24,how to get over someone,love_relationships,how_to,决策�?D2,53,11,1,0,how to get over someone,/questions/love-relationships/how-to-get-over-someone,
25,how to tell if he loves you,love_relationships,how_to,清单�?D1,2,1,1,1,how to tell if he loves you,/questions/love-relationships/how-to-tell-if-he-loves-you,
26,signs he loves you,love_relationships,signs,清单�?D1,10,3,1,1,signs he loves you,/questions/love-relationships/signs-he-loves-you,
27,am i going to be alone forever,love_relationships,yes_no,决策�?D2,15,5,1,1,will i ever find love,/questions/love-relationships/will-i-ever-find-love,
28,when will i get married,love_relationships,wh,工具�?D2,30,6,1,1,when will i get married,/questions/love-relationships/when-will-i-get-married,
29,who will i marry,love_relationships,wh,决策�?D1,25,6,1,1,who will i marry,/questions/love-relationships/who-will-i-marry,
30,am i in a karmic relationship,love_relationships,yes_no,决策�?D2,8,5,1,1,what is a karmic relationship,/questions/love-relationships/karmic-relationship-signs,
31,who is my soulmate,twin_flame_soulmate,wh,决策�?D2,31,9,3,1,who is my soulmate,/questions/love-relationships/who-is-my-soulmate,
32,when will i meet my soulmate,twin_flame_soulmate,wh,决策�?D2,25,6,1,1,when will i meet my soulmate,/questions/love-relationships/when-will-i-meet-my-soulmate,
33,how to know if someone is your soulmate,twin_flame_soulmate,how_to,决策�?D2,4,3,1,1,how to know if someone is your soulmate,/questions/love-relationships/how-to-know-your-soulmate,
34,twin flame vs soulmate,twin_flame_soulmate,wh,概念�?D1,16,9,2,1,twin flame vs soulmate,/questions/love-relationships/twin-flame-vs-soulmate,
35,karmic vs twin flame,twin_flame_soulmate,wh,概念�?D1,6,3,1,1,karmic vs twin flame,/questions/love-relationships/karmic-vs-twin-flame,
36,is he my twin flame,twin_flame_soulmate,yes_no,决策�?D2,12,4,1,1,is he my twin flame,/questions/love-relationships/is-he-my-twin-flame,
37,signs he is my twin flame,twin_flame_soulmate,signs,清单�?D1,0,2,1,1,signs he is my twin flame,/questions/love-relationships/twin-flame-signs,
38,twin flame separation meaning,twin_flame_soulmate,meaning,概念�?D2,59,12,1,1,twin flame separation,/questions/love-relationships/twin-flame-separation,
39,twin flame reunion signs,twin_flame_soulmate,signs,概念�?D2,3,4,1,1,twin flame reunion signs,/questions/love-relationships/twin-flame-reunion-signs,
40,twin flame stages,twin_flame_soulmate,wh,概念�?D1,10,2,1,0,twin flame stages,/questions/love-relationships/twin-flame-stages,
41,what does it mean when you dream about someone,dreams,meaning,解读�?D1,20,7,2,1,dream about someone dying,/questions/dreams/dream-about-someone,
42,what does it mean when you dream about your ex,dreams,meaning,解读�?D1,9,5,2,1,what does it mean to dream about your ex,/questions/dreams/dream-about-your-ex,
43,why do i keep dreaming about the same person,dreams,wh,解读�?D1,2,3,2,1,why do i keep dreaming about my ex,/questions/dreams/recurring-dream-about-someone,
44,dream about snakes meaning,dreams,meaning,解读�?D1,43,32,2,1,dream about snakes,/questions/dreams/dream-about-snakes,
45,dream about spiders meaning,dreams,meaning,解读�?D1,18,7,2,1,dream about spiders,/questions/dreams/dream-about-spiders,
46,dream about water meaning,dreams,meaning,解读�?D1,19,6,2,1,dream about water,/questions/dreams/dream-about-water,
47,dream about falling teeth meaning,dreams,meaning,解读�?D1,19,9,2,1,dream about teeth falling out,/questions/dreams/dream-about-teeth-falling-out,
48,dream about being chased meaning,dreams,meaning,解读�?D1,21,5,2,1,dream about being chased,/questions/dreams/dream-about-being-chased,
49,dream about death meaning,dreams,meaning,解读�?D1,2,1,1,1,dream about death meaning,/questions/dreams/dream-about-death,
50,what does it mean when you dream about someone dying,dreams,meaning,解读�?D1,20,7,2,1,dream about someone dying,/questions/dreams/dream-about-someone-dying,
51,dream about a deceased loved one,dreams,meaning,解读�?D1,24,23,2,1,signs from deceased loved ones,/questions/dreams/dream-about-deceased-loved-one,
52,lucid dreaming how to,dreams,how_to,指南�?D1,9,4,1,1,lucid dreaming how to,/guides/lucid-dreaming-beginners,
53,recurring dreams meaning,dreams,meaning,解读�?D1,6,2,2,1,recurring dreams meaning,/questions/dreams/recurring-dreams,
54,can dreams predict the future,dreams,yes_no,概念�?D1,1,1,1,0,can dreams predict the future,/questions/dreams/can-dreams-predict-the-future,
55,what does 1111 mean,angel_numbers,meaning,解读�?D1,46,23,2,1,what does 1111 mean,/questions/angel-numbers/1111-meaning,
56,what does 222 mean,angel_numbers,meaning,解读�?D1,181,30,2,1,what does 222 mean,/questions/angel-numbers/222-meaning,
57,what does 333 mean,angel_numbers,meaning,解读�?D1,24,7,2,1,what does 333 mean,/questions/angel-numbers/333-meaning,
58,what does 444 mean,angel_numbers,meaning,解读�?D1,38,8,2,1,what does 444 mean,/questions/angel-numbers/444-meaning,
59,what does 555 mean,angel_numbers,meaning,解读�?D1,21,5,1,1,what does 555 mean,/questions/angel-numbers/555-meaning,
60,what does 777 mean,angel_numbers,meaning,解读�?D1,22,6,1,1,what does 777 mean,/questions/angel-numbers/777-meaning,
61,what does 888 mean,angel_numbers,meaning,解读�?D1,14,4,1,1,what does 888 mean,/questions/angel-numbers/888-meaning,
62,what does 999 mean,angel_numbers,meaning,解读�?D1,22,4,1,1,what does 999 mean,/questions/angel-numbers/999-meaning,
63,what does 1212 mean,angel_numbers,meaning,解读�?D1,11,3,1,1,what does 1212 mean,/questions/angel-numbers/1212-meaning,
64,what does 1010 mean,angel_numbers,meaning,解读�?D1,11,3,1,1,what does 1010 mean,/questions/angel-numbers/1010-meaning,
65,what does 1234 mean,angel_numbers,meaning,解读�?D1,9,1,1,1,what does 1234 mean,/questions/angel-numbers/1234-meaning,
66,what does 111 mean,angel_numbers,meaning,解读�?D1,61,23,2,1,what does 1111 mean,/questions/angel-numbers/111-meaning,
67,what does 2222 mean,angel_numbers,meaning,解读�?D1,4,1,1,0,what does 2222 mean,/questions/angel-numbers/2222-meaning,
68,angel numbers meaning,angel_numbers,meaning,工具�?D1,80,22,2,1,angel numbers meaning,/questions/angel-numbers/angel-numbers-meaning,
69,why do i keep seeing 1111,angel_numbers,wh,解读�?D1,13,6,2,1,why do i keep seeing 1111,/questions/angel-numbers/why-do-i-keep-seeing-1111,
70,why do i keep seeing repeating numbers,angel_numbers,wh,解读�?D1,11,6,2,1,why do i keep seeing repeating numbers,/questions/angel-numbers/why-do-i-keep-seeing-repeating-numbers,
71,what is my life path number,angel_numbers,wh,工具�?D1,36,32,2,1,what is my life path number,/questions/angel-numbers/life-path-number,
72,what is my angel number,angel_numbers,wh,工具�?D1,80,22,2,1,angel numbers meaning,/questions/angel-numbers/what-is-my-angel-number,
73,how to read tarot,tarot,how_to,指南�?D1,137,41,3,1,how to read tarot,/guides/how-to-read-tarot,
74,how to do a tarot reading,tarot,how_to,指南�?D1,14,4,2,1,how to do a tarot reading,/guides/how-to-do-a-tarot-reading,
75,tarot yes or no,tarot,how_to,工具�?D1,42,33,2,1,tarot yes or no,/questions/tarot/tarot-yes-or-no,
76,does he love me tarot,tarot,yes_no,决策�?D3,12,6,3,1,does he love me tarot,/questions/tarot/does-he-love-me-tarot,
77,is tarot accurate,tarot,yes_no,概念�?D2,10,17,3,1,is tarot real,/guides/is-tarot-accurate,
78,can tarot predict the future,tarot,yes_no,概念�?D2,2,2,1,1,can tarot predict the future,/questions/tarot/can-tarot-predict-the-future,
79,what does the death card mean,tarot,meaning,解读�?D1,28,20,2,1,what does the death card mean,/questions/tarot/death-card-meaning,
80,what does the tower card mean,tarot,meaning,解读�?D1,9,1,1,1,what does the tower card mean,/questions/tarot/tower-card-meaning,
81,what does the lovers card mean,tarot,meaning,解读�?D1,9,1,1,1,what does the lovers card mean,/questions/tarot/lovers-card-meaning,
82,what does the moon card mean,tarot,meaning,解读�?D1,9,1,1,1,what does the moon card mean,/questions/tarot/moon-card-meaning,
83,what does the star card mean,tarot,meaning,解读�?D1,7,1,1,1,what does the star card mean,/questions/tarot/star-card-meaning,
84,what does the high priestess mean,tarot,meaning,解读�?D1,11,2,1,0,what does the high priestess mean,/questions/tarot/high-priestess-meaning,
85,how to cleanse tarot cards,tarot,how_to,指南�?D2,11,3,1,1,how to cleanse tarot cards,/guides/how-to-cleanse-tarot-cards,
86,what is my tarot birth card,tarot,wh,工具�?D1,1,2,1,1,what is my tarot birth card,/questions/tarot/tarot-birth-card,
87,what is my rising sign,astrology,wh,工具�?D1,106,32,2,1,what is my rising sign,/questions/astrology/what-is-my-rising-sign,
88,what is my moon sign,astrology,wh,工具�?D1,15,6,1,1,what is my moon sign,/questions/astrology/what-is-my-moon-sign,
89,what is my sun sign,astrology,wh,工具�?D1,12,4,1,1,what is my sun sign,/questions/astrology/what-is-my-sun-sign,
90,what is my big three,astrology,wh,工具�?D1,6,3,1,1,what is my big three,/questions/astrology/what-is-my-big-three,
91,how to read my birth chart,astrology,how_to,指南�?D1,6,20,1,1,how to read my birth chart,/guides/how-to-read-your-birth-chart,
92,what does my birth chart mean,astrology,meaning,指南�?D1,3,3,1,1,what does my birth chart mean,/questions/astrology/what-does-my-birth-chart-mean,
93,what does mercury retrograde mean,astrology,meaning,解读�?D1,47,23,2,1,what does mercury retrograde mean,/questions/astrology/mercury-retrograde-meaning,
94,what is my venus sign,astrology,wh,工具�?D1,13,5,1,1,what is my venus sign,/questions/astrology/what-is-my-venus-sign,
95,what is my north node,astrology,wh,解读�?D1,11,4,1,1,what is my north node,/questions/astrology/what-is-my-north-node,
96,what is my saturn return,astrology,wh,解读�?D1,12,6,2,1,when is my saturn return,/questions/astrology/what-is-my-saturn-return,
97,what is a stellium,astrology,wh,概念�?D1,11,4,1,1,what is a stellium,/questions/astrology/what-is-a-stellium,
98,what is my chiron,astrology,wh,解读�?D1,11,2,1,1,what is my chiron,/questions/astrology/what-is-my-chiron,
99,when is the next mercury retrograde,astrology,wh,解读�?D1,47,23,2,1,what does mercury retrograde mean,/questions/astrology/mercury-retrograde-dates,
100,zodiac compatibility,astrology,wh,工具�?D1,203,31,1,1,zodiac compatibility,/questions/astrology/zodiac-compatibility,
101,what sign is compatible with me,astrology,wh,工具�?D1,1,1,1,1,what sign is compatible with me,/questions/astrology/what-sign-is-compatible-with-me,
102,is astrology real,astrology,yes_no,概念�?D2,13,4,1,1,is astrology real,/guides/is-astrology-real,
103,what is my seventh house,astrology,wh,解读�?D1,2,1,1,0,what is my seventh house,/questions/astrology/seventh-house-meaning,
104,what does my moon sign mean,astrology,meaning,解读�?D1,1,1,1,0,what does my moon sign mean,/questions/astrology/moon-sign-meaning,
105,am i psychic,psychic_abilities,yes_no,工具�?D2,24,26,2,1,am i psychic,/questions/spiritual-growth/am-i-psychic,
106,am i clairvoyant,psychic_abilities,yes_no,工具�?D2,4,18,2,1,am i clairvoyant,/questions/spiritual-growth/am-i-clairvoyant,
107,am i an empath,psychic_abilities,yes_no,工具�?D2,30,19,2,1,am i an empath,/questions/spiritual-growth/am-i-an-empath,
108,am i an intuitive,psychic_abilities,yes_no,工具�?D2,6,10,2,1,am i an intuitive,/questions/spiritual-growth/am-i-an-intuitive,
109,signs you are psychic,psychic_abilities,signs,清单�?D1,2,5,5,1,signs to know if you are spiritually gifted,/questions/spiritual-growth/signs-you-are-psychic,
110,how to open third eye,psychic_abilities,how_to,指南�?D2,66,30,1,1,how to open third eye,/guides/how-to-open-your-third-eye,
111,signs your third eye is opening,psychic_abilities,signs,清单�?D1,2,5,1,1,how to know if your third eye is open,/questions/spiritual-growth/third-eye-opening-signs,
112,how to develop psychic abilities,psychic_abilities,how_to,指南�?D2,4,7,4,1,how to develop psychic abilities,/guides/how-to-develop-psychic-abilities,
113,how to trust your intuition,psychic_abilities,how_to,指南�?D2,7,3,2,1,how to develop intuition,/guides/how-to-trust-your-intuition,
114,what is my psychic ability,psychic_abilities,wh,工具�?D1,2,2,1,1,what is my psychic ability,/questions/spiritual-growth/what-is-my-psychic-ability,
115,what is my spiritual gift,psychic_abilities,wh,工具�?D1,11,5,2,1,what is my spiritual gift,/questions/spiritual-growth/what-is-my-spiritual-gift,
116,what is clairsentience,psychic_abilities,wh,概念�?D1,4,3,1,1,what is clairsentience,/guides/clairsentience-explained,
117,how to find your spirit guide,psychic_abilities,how_to,指南�?D2,8,22,2,1,how to find your spirit guide,/guides/how-to-find-your-spirit-guide,
118,what is the akashic records,psychic_abilities,wh,概念�?D2,3,3,1,1,what is the akashic records,/guides/akashic-records-explained,
119,how to manifest,manifestation,how_to,指南�?D2,475,81,3,1,how to manifest,/guides/how-to-manifest,
120,how to manifest money,manifestation,how_to,指南�?D2,98,34,3,1,how to manifest money,/guides/how-to-manifest-money,
121,how to manifest love,manifestation,how_to,指南�?D2,33,12,2,1,how to manifest love,/guides/how-to-manifest-love,
122,how to manifest a specific person,manifestation,how_to,指南�?D3,24,9,2,1,how to manifest someone,/guides/how-to-manifest-a-specific-person,
123,does manifestation work,manifestation,yes_no,概念�?D2,47,26,2,1,does manifestation work,/guides/does-manifestation-work,
124,369 method,manifestation,how_to,指南�?D1,28,6,2,1,369 method,/guides/369-manifestation-method,
125,what is the 555 method,manifestation,wh,指南�?D1,9,1,1,1,what is the 555 method,/guides/555-manifestation-method,
126,scripting manifestation,manifestation,how_to,指南�?D1,19,5,2,1,scripting manifestation,/guides/scripting-manifestation,
127,what is the law of assumption,manifestation,wh,概念�?D1,23,5,1,1,law of assumption,/guides/law-of-assumption,
128,what is shadow work,manifestation,wh,指南�?D1,107,27,2,1,what is shadow work,/guides/what-is-shadow-work,
129,how to do shadow work,manifestation,how_to,指南�?D1,17,3,2,1,how to do shadow work,/guides/how-to-do-shadow-work,
130,how to raise your vibration,manifestation,how_to,指南�?D1,18,3,1,1,how to raise your vibration,/guides/how-to-raise-your-vibration,
131,why is my manifestation not working,manifestation,wh,指南�?D3,1,2,2,1,why is my manifestation not working,/guides/why-your-manifestation-is-not-working,
132,how long does manifestation take,manifestation,wh,概念�?D2,1,3,2,1,how long does manifestation take,/guides/how-long-manifestation-takes,
133,what is a spiritual awakening,spiritual_awakening,wh,概念�?D1,26,25,3,1,signs of spiritual awakening,/guides/what-is-a-spiritual-awakening,
134,signs of spiritual awakening,spiritual_awakening,signs,清单�?D1,26,25,2,1,signs of spiritual awakening,/questions/spiritual-growth/signs-of-spiritual-awakening,
135,spiritual awakening symptoms,spiritual_awakening,signs,清单�?D1,11,21,3,1,spiritual awakening symptoms,/questions/spiritual-growth/spiritual-awakening-symptoms,
136,am i spiritually awakening,spiritual_awakening,yes_no,工具�?D2,1,8,2,1,how to know if you are spiritually awakened,/questions/spiritual-growth/am-i-spiritually-awakening,
137,dark night of the soul,spiritual_awakening,wh,概念�?D2,54,7,1,1,dark night of the soul,/guides/dark-night-of-the-soul,
138,spiritual awakening stages,spiritual_awakening,wh,概念�?D1,1,1,1,0,spiritual awakening stages dark night of the soul,/guides/spiritual-awakening-stages,
139,signs of kundalini awakening,spiritual_awakening,signs,指南�?D2,6,13,3,1,what is a kundalini awakening,/guides/kundalini-awakening-signs,
140,what is my spirit animal,spiritual_awakening,wh,工具�?D1,154,37,2,1,what is my spirit animal,/questions/spiritual-growth/what-is-my-spirit-animal,
141,waking up at 3am spiritual meaning,spiritual_awakening,meaning,解读�?D1,13,10,1,1,why do i wake up at 3am,/questions/spiritual-growth/waking-up-at-3am-meaning,
142,what is my aura color,spiritual_awakening,wh,工具�?D1,15,7,2,1,what is an aura,/questions/spiritual-growth/what-is-my-aura-color,
143,am i cursed,protection_energy,yes_no,决策�?D3,45,24,1,1,am i cursed,/questions/spiritual-growth/am-i-cursed,
144,how to break a curse,protection_energy,how_to,指南�?D3,14,5,2,1,how to break a curse,/guides/how-to-break-a-curse,
145,what is the evil eye,protection_energy,wh,概念�?D1,146,29,2,1,what is the evil eye,/guides/evil-eye-meaning,
146,what is a hex,protection_energy,wh,概念�?D2,23,7,1,1,what is a hex,/guides/hex-vs-curse,
147,how to cleanse negative energy,protection_energy,how_to,指南�?D2,43,27,1,1,how to cleanse negative energy,/guides/how-to-cleanse-negative-energy,
148,how to get rid of negative energy,protection_energy,how_to,指南�?D2,12,4,1,1,how to get rid of negative energy,/guides/how-to-cleanse-negative-energy,
149,how to protect yourself from negative energy,protection_energy,how_to,指南�?D2,11,3,1,1,how to protect yourself from negative energy,/guides/protecting-your-energy,
150,how to cleanse your aura,protection_energy,how_to,指南�?D2,10,2,1,1,how to cleanse your aura,/guides/how-to-cleanse-your-aura,
151,signs of negative energy around you,protection_energy,signs,清单�?D1,3,2,1,1,signs of bad energy in house,/questions/spiritual-growth/signs-of-negative-energy,
152,what does it mean when you see a cardinal,signs_synchronicity,meaning,解读�?D1,11,4,2,1,what does it mean when you see a cardinal,/questions/signs/cardinal-meaning,
153,what does it mean when you see a feather,signs_synchronicity,meaning,解读�?D1,9,2,2,1,what does it mean when you see a feather,/questions/signs/feather-meaning,
154,what does it mean when you see a deer,signs_synchronicity,meaning,解读�?D1,11,3,2,1,what does it mean when you see a deer,/questions/signs/deer-meaning,
155,what does it mean when you see a hawk,signs_synchronicity,meaning,解读�?D1,10,3,2,1,what does it mean when you see a hawk,/questions/signs/hawk-meaning,
156,what does it mean when you see an owl,signs_synchronicity,meaning,解读�?D1,13,3,2,1,what does it mean when you see an owl,/questions/signs/owl-meaning,
157,butterfly meaning spiritual,signs_synchronicity,meaning,解读�?D1,7,3,1,1,butterfly meaning spiritual,/questions/signs/butterfly-meaning,
158,hummingbird meaning spiritual,signs_synchronicity,meaning,解读�?D1,4,3,1,1,hummingbird meaning spiritual,/questions/signs/hummingbird-meaning,
159,what are synchronicities,signs_synchronicity,wh,概念�?D1,7,3,1,1,what are synchronicities,/guides/what-are-synchronicities,
160,full moon ritual,crystals_rituals,how_to,指南�?D1,162,34,2,1,full moon ritual,/guides/full-moon-ritual,
161,what to do on a full moon,crystals_rituals,how_to,指南�?D1,12,6,2,1,what to do on a full moon,/guides/full-moon-ritual,
162,new moon ritual,crystals_rituals,how_to,指南�?D1,39,20,2,1,new moon ritual,/guides/new-moon-ritual,
163,what does the full moon mean,crystals_rituals,meaning,解读�?D1,19,3,2,1,what does the full moon mean,/questions/crystals-rituals/full-moon-meaning,
164,moon phases meaning,crystals_rituals,meaning,解读�?D1,5,5,1,1,moon phases meaning,/questions/crystals-rituals/moon-phases-meaning,
165,how to cleanse crystals,crystals_rituals,how_to,指南�?D2,10,3,1,1,how to cleanse crystals,/guides/how-to-cleanse-crystals,
166,crystals for anxiety,crystals_rituals,wh,清单�?D1,12,3,1,1,crystals for anxiety,/guides/crystals-for-anxiety,
167,crystals for love,crystals_rituals,wh,清单�?D1,11,2,1,1,crystals for love,/guides/crystals-for-love,
168,what crystal is for protection,crystals_rituals,wh,清单�?D1,19,4,2,1,crystals for protection,/guides/crystals-for-protection,
169,what are chakras,chakras_energy,wh,概念�?D1,39,25,2,1,what are chakras,/guides/what-are-chakras,
170,how to unblock chakras,chakras_energy,how_to,指南�?D2,14,19,1,1,how to unblock chakras,/guides/how-to-unblock-chakras,
171,which chakra is blocked,chakras_energy,wh,工具�?D1,39,13,1,1,chakra test,/quiz/chakra-test,
172,signs of blocked chakras,chakras_energy,signs,清单�?D1,1,1,1,1,what is the third eye chakra blocked by,/questions/spiritual-growth/blocked-chakra-signs,
173,what is reiki,chakras_energy,wh,概念�?D2,27,8,2,1,what is reiki,/guides/what-is-reiki,
174,what is the third eye chakra,chakras_energy,wh,概念�?D1,9,4,1,1,what is the third eye chakra,/guides/third-eye-chakra,
175,what is energy healing,chakras_energy,wh,概念�?D2,10,7,1,1,what is energy healing,/guides/energy-healing-explained,
176,how to balance chakras,chakras_energy,how_to,指南�?D2,9,2,1,1,how to balance chakras,/guides/how-to-balance-your-chakras,
177,past life regression,past_lives_karma,wh,概念�?D2,58,11,2,1,past life regression,/guides/past-life-regression,
178,how to know my past life,past_lives_karma,how_to,指南�?D1,58,13,2,1,past life regression,/questions/spiritual-growth/how-to-know-your-past-life,
179,past life signs,past_lives_karma,signs,清单�?D1,3,2,1,1,past life signs,/questions/spiritual-growth/past-life-signs,
180,what is karma,past_lives_karma,wh,概念�?D1,24,7,1,1,what is karma,/guides/what-is-karma,
181,how to clear karma,past_lives_karma,how_to,指南�?D2,5,2,1,1,how to clear karma,/guides/how-to-clear-karma,
182,what is a soul contract,past_lives_karma,wh,概念�?D1,10,4,2,1,what is a soul contract,/guides/soul-contracts,
183,signs from deceased loved ones,grief_afterlife,signs,清单�?D2,24,23,2,1,signs from deceased loved ones,/questions/loss-closure/signs-from-deceased-loved-ones,
184,can mediums talk to the dead,grief_afterlife,yes_no,概念�?D2,2,6,1,1,can mediums talk to the dead,/guides/can-mediums-talk-to-the-dead,
185,are mediums real,grief_afterlife,yes_no,概念�?D3,8,3,1,1,are mediums real,/guides/how-to-know-if-a-medium-is-real,
186,is my loved one watching over me,grief_afterlife,yes_no,决策�?D2,1,1,1,1,is my loved one watching over me,/questions/loss-closure/is-my-loved-one-watching-over-me,
187,what happens after death spiritually,grief_afterlife,wh,概念�?D1,1,1,1,1,what happens after death spiritually,/questions/loss-closure/what-happens-after-death,
188,how to connect with a passed loved one,grief_afterlife,how_to,指南�?D2,1,1,1,1,how to contact a loved one who has passed away,/guides/connecting-with-a-passed-loved-one,
189,am i being haunted,grief_afterlife,yes_no,决策�?D2,6,2,1,1,am i being haunted,/questions/loss-closure/am-i-being-haunted,
190,signs of a spirit in your house,grief_afterlife,signs,清单�?D1,0,1,1,1,signs of a spirit in your house,/questions/loss-closure/signs-of-a-spirit-in-your-house,
191,what is my life purpose,money_career,wh,决策�?D2,10,11,2,1,how to find my purpose,/questions/life-direction/what-is-my-life-purpose,
192,what is my soul purpose,money_career,wh,决策�?D2,4,4,1,1,what is my soul purpose,/questions/life-direction/what-is-my-soul-purpose,
193,what is my career path,money_career,wh,决策�?D2,9,11,1,1,what is my career path,/questions/career-work/what-is-my-career-path,
194,is this job right for me,money_career,yes_no,决策�?D3,1,2,1,1,is this job right for me,/questions/career-work/is-this-job-right-for-me,
195,should i quit my job,money_career,yes_no,决策�?D3,22,6,1,1,should i quit my job,/questions/career-work/should-i-quit-my-job,
196,will i get the job,money_career,yes_no,决策�?D3,43,19,1,1,will i get the job,/questions/career-work/will-i-get-the-job,
197,will i be successful,money_career,yes_no,决策�?D2,10,4,1,1,will i be successful,/questions/career-work/will-i-be-successful,
198,will i be rich,money_career,yes_no,决策�?D2,13,2,1,1,will i be rich,/questions/money-wealth/will-i-be-rich,
199,what is my destiny,money_career,wh,决策�?D2,18,5,1,1,what is my destiny,/questions/life-direction/what-is-my-destiny,
200,what does my future hold,money_career,wh,决策�?D2,7,15,1,1,what does my future hold,/questions/life-direction/what-does-my-future-hold,
